Date,Open,High,Low,Close,Adj Close,Volume
2003-10-13,104.709999,105.290001,104.510002,104.900002,72.019302,23825600
2003-10-14,104.800003,105.430000,104.360001,105.269997,72.273308,38484400
2003-10-15,105.860001,105.889999,104.639999,104.989998,72.081062,39021700
2003-10-16,104.680000,105.730003,104.650002,105.410004,72.369431,32772200
2003-10-17,105.470001,105.629997,103.980003,104.260002,71.579887,32790300
2003-10-20,104.449997,105.040001,103.940002,105.040001,72.115417,27657000
2003-10-21,104.820000,105.279999,104.320000,104.860001,71.991867,26729100
2003-10-22,104.029999,104.190002,103.190002,103.540001,71.085587,33914500
2003-10-23,102.889999,103.949997,102.839996,103.349998,70.955116,45830500
2003-10-24,102.830002,103.580002,102.180000,103.580002,71.113083,51723600
2003-10-27,103.739998,104.180000,103.269997,103.629997,71.147354,32460200
2003-10-28,103.980003,105.150002,103.820000,105.040001,72.115417,34956200
2003-10-29,104.769997,105.430000,103.870003,105.180000,72.211517,30955400
2003-10-30,105.790001,105.970001,104.800003,105.400002,72.362556,39123100
2003-10-31,105.400002,105.739998,105.220001,105.300003,72.293922,25761600
2003-11-03,105.750000,106.610001,105.709999,105.989998,72.767624,37589300
2003-11-04,105.989998,106.269997,105.580002,105.760002,72.609756,31421600
2003-11-05,105.489998,105.970001,104.900002,105.839996,72.664665,33558800
2003-11-06,105.599998,106.440002,105.099998,106.400002,73.049126,28392300
2003-11-07,106.639999,106.720001,105.570000,105.610001,72.506767,31723200
2003-11-10,105.739998,105.839996,105.010002,105.180000,72.211517,25530800
2003-11-11,105.089996,105.330002,104.800003,105.150002,72.190971,26558600
2003-11-12,105.230003,106.470001,105.160004,106.330002,73.001060,28000000
2003-11-13,106.010002,106.540001,105.779999,106.360001,73.021660,29714800
2003-11-14,106.400002,106.949997,105.290001,105.459999,72.403778,49158500
2003-11-17,104.910004,105.139999,104.040001,104.930000,72.039909,44382100
2003-11-18,105.239998,105.449997,103.699997,103.839996,71.291542,41155000
2003-11-19,104.029999,105.010002,103.919998,104.720001,71.895706,29827000
2003-11-20,104.000000,105.239998,103.750000,103.779999,71.250336,53578700
2003-11-21,104.239998,104.330002,103.620003,104.209999,71.545586,30016000
2003-11-24,104.690002,105.779999,104.680000,105.589996,72.493011,28906400
2003-11-25,105.730003,106.419998,105.449997,105.989998,72.767624,37580000
2003-11-26,106.419998,106.449997,105.389999,106.370003,73.028542,33053600
2003-11-28,106.279999,106.660004,106.199997,106.449997,73.083473,10507500
2003-12-01,106.849998,107.680000,106.800003,107.599998,73.873009,38699000
2003-12-02,107.379997,107.769997,107.070000,107.330002,73.687630,35352000
2003-12-03,107.650002,108.080002,107.070000,107.160004,73.570938,39078600
2003-12-04,107.169998,107.720001,106.940002,107.599998,73.873009,36089500
2003-12-05,107.120003,107.800003,106.620003,106.849998,73.358093,28824400
2003-12-08,106.739998,107.639999,106.680000,107.570000,73.852417,32482900
2003-12-09,107.900002,107.930000,106.540001,106.739998,73.282539,43596100
2003-12-10,106.769997,106.980003,105.959999,106.730003,73.275681,36915400
2003-12-11,106.680000,108.099998,106.669998,107.930000,74.099556,45304000
2003-12-12,107.970001,108.199997,107.389999,108.139999,74.243752,34142200
2003-12-15,109.169998,109.230003,107.480003,107.599998,73.873009,38693400
2003-12-16,107.680000,108.500000,107.519997,108.160004,74.257462,32894200
2003-12-17,108.059998,108.500000,107.800003,108.500000,74.490898,23198800
2003-12-18,108.550003,109.730003,108.389999,109.720001,75.328453,29353100
2003-12-19,109.300003,109.370003,108.580002,108.900002,75.118759,41465100
2003-12-22,108.790001,109.660004,108.779999,109.660004,75.643044,27611300
2003-12-23,109.480003,109.949997,109.379997,109.730003,75.691338,24741200
2003-12-24,109.519997,109.879997,109.430000,109.620003,75.615440,8055800
2003-12-26,109.709999,110.080002,109.629997,109.699997,75.670593,8308400
2003-12-29,110.099998,111.269997,109.779999,111.160004,76.677727,22483700
2003-12-30,111.089996,111.269997,110.849998,111.180000,76.691521,19559500
2003-12-31,111.220001,111.519997,110.839996,111.279999,76.760498,31501800
2004-01-02,111.739998,112.190002,110.730003,111.230003,76.726021,38072300
2004-01-05,111.690002,112.519997,111.589996,112.440002,77.560661,27959800
2004-01-06,112.160004,112.730003,112.000000,112.550003,77.636536,20472800
2004-01-07,112.389999,113.059998,111.889999,112.930000,77.898643,30170400
2004-01-08,113.250000,113.410004,112.769997,113.379997,78.209053,36438400
2004-01-09,112.830002,113.500000,112.269997,112.389999,77.526169,54084300
2004-01-12,112.550003,113.250000,112.360001,113.220001,78.098709,31564100
2004-01-13,113.089996,113.230003,111.760002,112.559998,77.643433,54239700
2004-01-14,112.760002,113.660004,112.669998,113.500000,78.291862,30112800
2004-01-15,113.570000,114.059998,112.580002,113.779999,78.484970,38408700
2004-01-16,114.040001,114.309998,113.629997,114.230003,78.795364,31922700
2004-01-20,114.529999,114.650002,113.820000,114.199997,78.774719,29863000
2004-01-21,114.129997,115.300003,113.720001,115.099998,79.395531,30725000
2004-01-22,115.139999,115.379997,114.580002,114.800003,79.188591,29888500
2004-01-23,115.000000,115.370003,113.949997,114.430000,78.933350,44245300
2004-01-26,114.389999,115.930000,114.379997,115.870003,79.926651,30460600
2004-01-27,115.750000,116.500000,114.650002,114.680000,79.105797,35322800
2004-01-28,114.980003,115.279999,112.940002,113.370003,78.202179,52621300
2004-01-29,113.559998,113.849998,112.559998,113.480003,78.278061,60117100
2004-01-30,113.519997,113.720001,113.089996,113.480003,78.278061,30984400
2004-02-02,113.699997,114.680000,113.120003,113.970001,78.616035,38832400
2004-02-03,113.739998,114.139999,113.440002,113.779999,78.484970,25093500
2004-02-04,113.190002,113.730003,112.790001,112.849998,77.843491,39332600
2004-02-05,113.169998,113.540001,112.779999,113.180000,78.071121,37226800
2004-02-06,113.419998,114.699997,113.199997,114.449997,78.947128,37216000
2004-02-09,114.669998,114.870003,114.290001,114.480003,78.967834,24851300
2004-02-10,114.279999,115.139999,114.260002,114.849998,79.223068,27908100
2004-02-11,114.849998,116.389999,114.169998,116.070000,80.064621,42965700
2004-02-12,115.970001,116.269997,115.580002,115.650002,79.774910,27814700
2004-02-13,115.820000,116.199997,114.750000,115.129997,79.416183,44739900
2004-02-17,115.849998,116.430000,115.769997,116.169998,80.133598,23984300
2004-02-18,116.199997,116.599998,115.349998,115.660004,79.781830,28618000
2004-02-19,116.330002,116.389999,115.059998,115.230003,79.485191,51146200
2004-02-20,115.480003,115.559998,114.320000,114.879997,79.243774,46728800
2004-02-23,115.220001,115.260002,114.169998,114.589996,79.043724,36357000
2004-02-24,114.269997,114.989998,113.029999,114.389999,78.905746,43953000
2004-02-25,114.459999,115.059998,114.320000,114.870003,79.236862,31213600
2004-02-26,114.610001,115.290001,114.339996,114.940002,79.285141,29683000
2004-02-27,115.190002,115.739998,114.629997,115.019997,79.340317,39312000
2004-03-01,115.430000,116.339996,115.250000,116.160004,80.126694,33130800
2004-03-02,115.940002,116.970001,115.230003,115.480003,79.657639,38556400
2004-03-03,115.250000,115.870003,114.919998,115.690002,79.802490,31346200
2004-03-04,115.720001,116.099998,115.519997,115.989998,80.009445,21060000
2004-03-05,115.419998,116.949997,115.279999,116.379997,80.278465,55905600
2004-03-08,116.339996,116.620003,114.910004,114.959999,79.298958,39281600
2004-03-09,115.099998,115.209999,114.239998,114.500000,78.981628,39746100
2004-03-10,114.720001,114.769997,112.559998,112.580002,77.657242,67671800
2004-03-11,112.400002,113.269997,111.099998,111.120003,76.650131,89134800
2004-03-12,111.730003,112.709999,111.580002,112.580002,77.657242,54012200
2004-03-15,112.269997,112.349998,110.900002,111.199997,76.705315,57677200
2004-03-16,111.779999,112.059998,110.839996,111.790001,77.112282,59832600
2004-03-17,112.180000,113.260002,112.099998,113.040001,77.974548,41607300
2004-03-18,112.699997,113.269997,111.930000,113.070000,77.995224,60014300
2004-03-19,112.410004,112.570000,111.040001,111.059998,76.877304,48636200
2004-03-22,110.540001,110.570000,109.099998,109.650002,75.901268,62752100
2004-03-23,110.250000,110.400002,109.360001,109.459999,75.769753,54080200
2004-03-24,109.580002,110.139999,108.849998,109.550003,75.832054,51584300
2004-03-25,110.080002,111.300003,109.790001,111.000000,76.835762,49873600
2004-03-26,110.959999,111.790001,110.800003,111.029999,76.856537,37409500
2004-03-29,111.629997,112.739998,111.580002,112.589996,77.936363,44113600
2004-03-30,112.300003,113.070000,112.220001,112.970001,78.199417,39059900
2004-03-31,112.989998,113.400002,112.379997,113.099998,78.289429,48517600
2004-04-01,113.070000,113.870003,113.050003,113.779999,78.760109,45103800
2004-04-02,114.809998,114.839996,113.900002,114.639999,79.355446,50987700
2004-04-05,114.459999,115.379997,114.440002,115.269997,79.791527,30251800
2004-04-06,114.830002,115.180000,114.620003,114.900002,79.535416,28420900
2004-04-07,114.949997,114.980003,114.110001,114.629997,79.348480,45890500
2004-04-08,115.410004,115.410004,113.739998,114.370003,79.168549,46929700
2004-04-12,114.580002,115.080002,114.570000,114.820000,79.480049,23085200
2004-04-13,115.260002,115.300003,113.019997,113.209999,78.365570,56210300
2004-04-14,112.610001,113.639999,112.550003,113.389999,78.490173,62322300
2004-04-15,113.449997,113.779999,112.360001,112.959999,78.192513,61602500
2004-04-16,113.379997,114.050003,112.980003,113.830002,78.794731,47059200
2004-04-19,113.550003,113.989998,113.269997,113.830002,78.794731,28277600
2004-04-20,114.080002,114.320000,111.779999,111.919998,77.472565,53299400
2004-04-21,112.199997,112.949997,111.870003,112.669998,77.991768,50177300
